Lp.;Name;Ingredient;Postać farmaceutyczna;Dawka;Wielkość opakowania;Kat. dost.;EAN;Wytwórca;Kraj wytwórcy
4894;Lenuxin;Escitalopramum;tabletki powlekane;10 mg;"28 tabl.
30 tabl.
50 tabl.
56 tabl.
98 tabl.
100 tabl.
200 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990753970
5909990753987
5909990753994
5909990754007
5909990754038
5909990754045
5909990754052";Gedeon Richter Polska Sp. z o.o.;PL
4895;Lenuxin;Escitalopramum;tabletki powlekane;15 mg;"28 tabl.
30 tabl.
50 tabl.
56 tabl.
98 tabl.
100 tabl.
200 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990754083
5909990754090
5909990754106
5909990754137
5909990754144
5909990754151
5909990754168";Gedeon Richter Polska Sp. z o.o.;PL
4896;Lenuxin;Escitalopramum;tabletki powlekane;20 mg;"28 tabl.
30 tabl.
50 tabl.
56 tabl.
98 tabl.
100 tabl.
200 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990754199
5909990754205
5909990754229
5909990754236
5909990754243
5909990754250
5909990754267";Gedeon Richter Polska Sp. z o.o.;PL
4897;Leponex;Clozapinum;tabletki;25 mg;"50 tabl. w blistrach
50 tabl. w butelce";"Rp
Rp";"5909990173310
5909990173327";Novartis Pharma GmbH;D
4898;Leponex;Clozapinum;tabletki;100 mg;50 tabl.;Rp;5909990119219;Novartis Pharma GmbH;D
4899;Leptandra compositum;Homeopatyczny produkt leczniczy;krople doustne, roztwór;;1 butelka 30 ml;OTC;5909996353112;Biologische Heilmittel Heel GmbH;D
4900;Lercaprel;Enalaprili maleas + Lercanidipini hydrochloridum;tabletki powlekane;10 mg + 10 mg;"14 tabl.
28 tabl.
56 tabl.";"Rp
Rp
Rp";"5909990879953
5909990879960
5909990879977";Recordati Industria Chimica e Farmaceutica S.p.A;I
4901;Lercaprel;Enalaprili maleas + Lercanidipini hydrochloridum;tabletki powlekane;20 mg + 10 mg;"14 tabl.
28 tabl.
56 tabl.";"Rp
Rp
Rp";"5909990879984
5909990879991
5909990880003";Recordati Industria Chimica e Farmaceutica S.p.A;I
4902;Lerivon;Mianserini hydrochloridum;tabletki powlekane;10 mg;30 tabl.;Rp;5909990157716;N.V. Organon;NL
4903;Lerivon;Mianserini hydrochloridum;tabletki powlekane;30 mg;30 tabl.;Rp;5909990157822;N.V. Organon;NL
4904;Lerivon;Mianserini hydrochloridum;tabletki powlekane;60 mg;30 tabl.;Rp;5909990157914;N.V. Organon;NL
4905;Lerpin;Lercanidipini hydrochloridum;tabletki powlekane;10 mg;"28 tabl.
50 tabl.
98 tabl.
100 tabl.";"Rp
Rp
Rp
Rp";"5909990900855
5909990900862
5909990900879
5909990900886";TORRENT PHARMA GmbH;D
4906;Lerpin;Lercanidipini hydrochloridum;tabletki powlekane;20 mg;"28 tabl.
50 tabl.
98 tabl.
100 tabl.";"Rp
Rp
Rp
Rp";"5909990900893
5909990900909
5909990900923
5909990900930";TORRENT PHARMA GmbH;D
4907;Lescol;Fluvastatinum;kapsułki;20 mg;28 kaps.;Rp;5909990360314;Novartis Pharma GmbH;D
4908;Lescol;Fluvastatinum;kapsułki;40 mg;28 kaps.;Rp;5909990360413;Novartis Pharma GmbH;D
4909;Lescol XL;Fluvastatinum;tabletki o przedłużonym uwalnianiu;80 mg;28 tabl.;Rp;5909990887217;Novartis Pharma GmbH;D
4910;Lesine;Drospirenonum + Ethinylestradiolum;tabletki powlekane;3 mg + 0,03 mg;"21 tabl.
63 tabl.";"Rp
Rp";"5909990764853
5909990764860";Laboratorios Leon Farma S.A.;E
4911;Lesinelle;Drospirenonum + Ethinylestradiolum;tabletki powlekane;3 mg + 0,02 mg;"21 tabl.
63 tabl.";"Rp
Rp";"5909990764839
5909990764846";Laboratorios Leon Farma S.A.;E
4912;Letizen;Cetirizini dihydrochloridum;tabletki powlekane;10 mg;"7 tabl.
20 tabl.";"Rp
Rp";"5909990869718
5909990869725";Krka d.d., Novo mesto;SLO
4913;Letralan;Letrozolum;tabletki powlekane;2,5 mg;"30 tabl.
90 tabl.";"Rp
Rp";"5909990750627
5909990770021";"EirGen Pharma Limited
Genepharm S.A.";"IRL
GR"
4914;Letrodotril;Letrozolum;tabletki powlekane;2,5 mg;"10 tabl.
14 tabl.
15 tabl.
28 tabl.
30 tabl.
60 tabl.
90 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990790524
5909990790531
5909990790548
5909990790555
5909990790562
5909990790579
5909990790586
5909990790593";"Pharmachemie B.V.
TEVA Pharmaceutical Works Private Limited Company
Teva Pharmaceuticals Works Private Limited Company
Teva Sante SA
Teva UK Ltd.";"NL
H

H

F
GB"
4915;Letrofem;Letrozolum;tabletki powlekane;2,5 mg;"10 tabl.
30 tabl.";"Rp
Rp";"5909990800100
5909990800148";"EirGen Pharma Limited
Genepharm S.A.";"IRL
GR"
4916;Letromedac;Letrozolum;tabletki powlekane;2,5 mg;30 tabl.;Rp;5909990891788;"Rottendorf Pharma GmbH
Synthon B.V.
Synthon Hispania S.L.";"D
NL
E"
4917;Letronorm;Letrozolum;tabletki powlekane;2,5 mg;30 tabl.;Rp;5909990915101;"Genericon Pharma 
Gesellschaft m.b.H.
Rottendorf Pharma GmbH
Synthon B.V.
Synthon Hispania S.L.";"A

D
NL
E"
4918;Letroregiozol;Letrozolum;tabletki powlekane;2,5 mg;30 tabl.;Rp;5909990896660;Regiomedica GmbH;D
4919;Letrox  50;Levothyroxinum natricum;tabletki;50 mcg;"25 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990374038
5909990374014
5909990374021";Berlin-Chemie AG;D
4920;Letrox 100;Levothyroxinum natricum;tabletki;100 mcg;"25 tabl. 
50 tabl.
100 tabl. ";"Rp
Rp
Rp";"5909990168934
5909990168910
5909990168927";Berlin-Chemie AG;D
4921;Letrox 150;Levothyroxinum natricum;tabletki;150 mcg;"25 tabl. 
50 tabl. 
100 tabl. ";"Rp
Rp
Rp";"5909990820634
5909990820610
5909990820627";Berlin-Chemie AG;D
4922;Letrozac;Letrozolum;tabletki powlekane;2,5 mg;"10 tabl.
30 tabl.";"Rp
Rp";"5909990851591
5909990851607";"Haupt Pharma Munster GmbH
Siegfried Generics (Malta) Ltd.";"D
MT"
4923;Letrozol Nucleus;Letrozolum;tabletki powlekane;2,5 mg;"30 tabl.
60 tabl.";"Rp
Rp";"5909990807109
5909990807154";"Rottendorf Pharma GmbH
Synthon B.V.
Synthon Hispania S.L.";"D
NL
E"
4924;Letrozol Regiomedica;Letrozolum;tabletki powlekane;2,5 mg;30 tabl.;Rp;5909990897353;Regiomedica GmbH;D
4925;Letrozol Teva;Letrozolum;tabletki powlekane;2,5 mg;"10 tabl.
30 tabl.
60 tabl.
90 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990668151
5909990668168
5909990668175
5909990668182
5909990668199";"Ivax Pharmaceuticals, s.r.o.
Teva Pharma B.V.";"CZ
NL"
4926;Letrozole Accord;Letrozolum;tabletki powlekane;2,5 mg;"10 tabl.
14 tabl.
28 tabl.
30 tabl.
50 tabl.
60 tabl.
84 tabl.
90 tabl.
98 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990739271
5909990739288
5909990730872
5909990739295
5909990739301
5909990739325
5909990739332
5909990739349
5909990739356
5909990739363";"Accord Healthcare Ltd.
Cemelog BRS Ltd.";"GB
H"
4927;Letrozole Arrow;Letrozolum;tabletki powlekane;2,5 mg;"10 tabl.
14 tabl.
28 tabl.
30 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990937349
5909990937356
5909990937363
5909990937370
5909990937387";Haupt Pharma Munster GmbH;D
4928;Letrozole Bluefish;Letrozolum;tabletki powlekane;2,5 mg;"30 tabl.
100 tabl.";"Rp
Rp";"5909990794683
5909990794690";Bluefish Pharmaceuticals AB;S
4929;Letrozole Reg Europe;Letrozolum;tabletki powlekane;2,5 mg;30 tabl.;Rp;5909990908608;Apotex Nederland B.V.;NL
4930;Letrozole Tecnimede;Letrozolum;tabletki powlekane;2,5 mg;"10 tabl.
30 tabl.
60 tabl.";"Rp
Rp
Rp";"5909990906789
5909990906796
5909990906802";West Pharma - Producoes de Especialidades Farmaceuticas S.A.;P
4931;Letrozole Welding;Letrozolum;tabletki powlekane;2,5 mg;"30 tabl.
100 tabl.";"Rpz
Rpz";"5909990914845
5909990914852";West Pharma - Producoes de Especialidades Farmaceuticas S.A.;P
4932;Letrozolum Genthon;Letrozolum;tabletki powlekane;2,5 mg;"28 tabl.
30 tabl.
60 tabl.";"Rp
Rp
Rp";"5909990891894
5909990891900
5909990891924";"Rottendorf Pharma GmbH
Synthon B.V.
Synthon Hispania S.L.";"D
NL
E"
4933;Leucovorin Ca Teva;Calcii folinas pentahydricus;proszek do sporządzania roztworu do wstrzykiwań;10 mg;"1 fiol. proszku
10 fiol. proszku";"Rp
Rp";"5909990123414
5909990123421";"Medicproduct a.s.
Teva Operations Poland Sp. z o.o.";"SK
PL"
4934;Leucovorin Ca Teva;Calcii folinas pentahydricus;proszek do sporządzania roztworu do wstrzykiwań;25 mg;"1 fiol. proszku
10 fiol. proszku";"Rp
Rp";"5909990123513
5909990123520";"Medicproduct a.s.
Teva Operations Poland Sp. z o.o.";"SK
PL"
4935;Leucovorin Ca Teva;Calcii folinas pentahydricus;roztwór do wstrzykiwań;10 mg/ml;"1 fiol. 10 ml
1 fiol. 20 ml
1 fiol. 45 ml
1 fiol. 50 ml
1 fiol. 80 ml
1 fiol. 100 ml
5 fiol. 45 ml
5 fiol. 50 ml
10 fiol. 20 ml";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909991117511
5909991117528
5909991117542
5909991117566
5909991117580
5909991117597
5909991117559
5909991117573
5909991117535";"Medicproduct a.s.
Teva Operations Poland Sp. z o.o.";"SK
PL"
4936;Leukeran;Chlorambucilum;tabletki powlekane;2 mg;25 tabl.;Rp;5909990345618;"EXCELLA GmbH
GlaxoSmithKline Pharmaceuticals S.A.";"D
PL"
4937;Leuprostin;Leuprorelinum;implant;3,6 mg;"1 implant
2 implanty
3 implanty";"Rp
Rp
Rp";"5909990836246
5909990836253
5909990836260";Jenahexal Pharma GmbH;D
4938;Leuprostin;Leuprorelinum;implant;5 mg;"1 implant
2 implanty
3 implanty";"Rp
Rp
Rp";"5909990836277
5909990836284
5909990836291";Jenahexal Pharma GmbH;D
4939;Levact;Bendamustinum hydrochloridum;proszek do sporządzania koncentratu roztworu do infuzji;2,5 mg/ml;"5 fiol. 25 mg
5 fiol. 100 mg
20 fiol. 25 mg";"Rp
Rp
Rp";"5909990802227
5909990802210
5909990802234";Temmler Werke GmbH;D
4940;Levelept;Levetiracetamum;roztwór doustny;100 mg/ml;"1 butelka 150 ml ze strzykawką o poj. 1 ml
1 butelka 150 ml ze strzykawką o poj. 3 ml
1 butelka 300 ml ze strzykawką o poj. 10 ml
1 butelka 50 ml ze strzykawką o poj. 1 ml";"Rp

Rp

Rp

Rp";"5909990934690

5909990934706

5909990934737

5909990934683";Sun-Farm Sp. z o.o.;PL
4941;Levelept;Levetiracetamum;tabletki powlekane;250 mg;"20 tabl.
30 tabl.
50 tabl.
60 tabl.
100 tabl.
200 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990934744
5909990934751
5909990934768
5909990934775
5909990934782
5909990934799";Sun-Farm Sp. z o.o.;PL
4942;Levelept;Levetiracetamum;tabletki powlekane;500 mg;"20 tabl.
30 tabl.
50 tabl.
60 tabl.
100 tabl.
200 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990934805
5909990934836
5909990934843
5909990934850
5909990934867
5909990934874";Sun-Farm Sp. z o.o.;PL
4943;Levelept;Levetiracetamum;tabletki powlekane;750 mg;"20 tabl.
30 tabl.
50 tabl.
60 tabl.
100 tabl.
200 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990934881
5909990934898
5909990934904
5909990934928
5909990934935
5909990934942";Sun-Farm Sp. z o.o.;PL
4944;Levelept;Levetiracetamum;tabletki powlekane;1000 mg;"20 tabl.
30 tabl.
50 tabl.
60 tabl.
100 tabl.
200 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990934959
5909990934966
5909990934973
5909990934980
5909990934997
5909990935000";Sun-Farm Sp. z o.o.;PL
4945;Levocetirizine-Biofarm;Levocetirizini dihydrochloridum;tabletki powlekane;5 mg;"7 tabl.
7 tabl.
10 tabl.
10 tabl.
14 tabl.
14 tabl.
28 tabl.
28 tabl.
30 tabl.
30 tabl.
56 tabl.
56 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990847938
5909990847945
5909990847952
5909990847969
5909990847976
5909990847983
5909990847990
5909990848003
5909990848027
5909990848034
5909990848041
5909990848058";Biofarm Sp. z o.o.;PL
4946;Levocetirizine dihydrochloride Zentiva;Levocetirizini dihydrochloridum;tabletki powlekane;5 mg;"7 tabl.
20 tabl.
28 tabl.
50 tabl.
90 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990937530
5909990937547
5909990937554
5909990937561
5909990937578";Zentiva k.s.;CZ
4947;Levofloxacin FP;Levofloxacinum;roztwór do infuzji;5 mg/ml;1 worek 100 ml;Rp;5909990800346;Zakłady Farmaceutyczne POLPHARMA S.A.;PL
4948;Levofloxacin Sanovel;Levofloxacinum;tabletki powlekane;500 mg;"5 tabl.
7 tabl.
10 tabl.";"Rp
Rp
Rp";"5909990928668
5909990928675
5909990928682";Sanovel GmbH;D
4949;Levofolic 50 mg/ml roztwór do wstrzykiwań lub infuzji;Acidum levofolinicum;roztwór do wstrzykiwań lub infuzji;50 mg/ml;"1 fiol. 1 ml
1 fiol. 4 ml
1 fiol. 9 ml
5 fiol. 1 ml
5 fiol. 4 ml
5 fiol. 9 ml";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990648801
5909990648818
5909990648825
5909990648832
5909990648849
5909990648856";medac Gesellschaft fur klinische Specialpraparate mbH;D
4950;Levomine;Ethinylestradiolum + Levonorgestrelum;tabletki powlekane;30 mcg + 150 mcg;"21 tabl.
63 tabl.
126 tabl.";"Rp
Rp
Rp";"5909990879458
5909990879465
5909990879472";mibe GmbH Arzneimittel;D
4951;Levonor;Noradrenalinum;roztwór do infuzji;1 mg/ml;"5 amp. 4 ml
10 amp. 1 ml";"Lz
Lz";"5909990339426
5909990339419";Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4952;Levopront;Levodropropizinum;syrop;60 mg/10 ml;"1 butelka 60 ml
1 butelka 120 ml
1 butelka 200 ml";"Rp
Rp
Rp";"5909990910816
5909990910823
5909990669905";Dompe SPA;I
4953;Levoxa;Levofloxacinum;roztwór do infuzji;5 mg/ml;"1 fiol. 50 ml
1 fiol. 100 ml
5 fiol. 50 ml
5 fiol. 100 ml";"Rp
Rp
Rp
Rp";"5909990810260
5909990810284
5909990810277
5909990810291";Pharmathen S.A.;GR
4954;Levoxa;Levofloxacinum;tabletki powlekane;250 mg;"1 tabl.
3 tabl.
7 tabl.
10 tabl.
14 tabl.
50 tabl. w blistrach
50 tabl. w butelce
100 tabl.
200 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990646302
5909990646319
5909990646326
5909990646333
5909990646340
5909990646357
5909990646364
5909990646371
5909990646388";"Actavis Ltd.
Actavis hf.";"MT
IS"
4955;Levoxa;Levofloxacinum;tabletki powlekane;500 mg;"1 tabl.
3 tabl.
7 tabl.
10 tabl.
14 tabl.
50 tabl. w blistrach
50 tabl. w butelce
100 tabl.
200 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990646395
5909990646401
5909990646418
5909990646425
5909990646432
5909990646449
5909990646456
5909990646463
5909990646470";"Actavis Ltd.
Actavis hf.";"MT
IS"
4956;Lewomezin;Levomepromazini maleas;tabletki;25 mg;"30 tabl.
100 tabl.";"Rp
Rp";"5909990896677
5909990896684";Orion Corporation, Orion Pharma;FIN
4957;Lewomezin;Levomepromazini maleas;tabletki;50 mg;"30 tabl.
100 tabl.";"Rp
Rp";"5909990896691
5909990896707";Orion Corporation, Orion Pharma;FIN
4958;Lexapro;Escitalopramum;tabletki powlekane;5 mg;"14 tabl.
28 tabl.";"Rp
Rp";"5909990085101
5909990085125";H. Lundbeck A/S;DK
4959;Lexapro;Escitalopramum;tabletki powlekane;10 mg;"14 tabl.
28 tabl.";"Rp
Rp";"5909990085132
5909990085149";H. Lundbeck A/S;DK
4960;Lexapro MELTZ;Escitalopramum;tabletki ulegające rozpadowi w jamie ustnej;10 mg;"12 tabl.
30 tabl.
60 tabl.";"Rp
Rp
Rp";"5909990907892
5909990907908
5909990907939";"Elaiapharm
H. Lundbeck A/S";"F
DK"
4961;Lexotan;Bromazepamum;tabletki;3 mg;30 tabl.;Rp;5909990183616;Roche Polska Sp. z o.o.;PL
4962;Lexotan;Bromazepamum;tabletki;6 mg;30 tabl.;Rp;5909990094615;Roche Polska Sp. z o.o.;PL
4963;Lextril;tert-Butylamini perindoprilum;tabletki;4 mg;"14 tabl.
20 tabl.
28 tabl.
30 tabl.
56 tabl.
60 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990675098
5909990675104
5909990675111
5909990675128
5909990675135
5909990675142";"Glenmark Pharmaceuticals s.r.o.
Tillomed Laboratories Ltd.";"CZ
GB"
4964;Lextril;tert-Butylamini perindoprilum;tabletki;8 mg;"14 tabl.
20 tabl.
28 tabl.
30 tabl.
56 tabl.
60 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990675159
5909990675166
5909990675173
5909990675180
5909990675197
5909990675203";"Glenmark Pharmaceuticals s.r.o.
Tillomed Laboratories Ltd.";"CZ
GB"
4965;Lextril Combo;tert-Butylamini perindoprilum + Indapamidum;tabletki;2 mg + 0,625 mg;"30 tabl.
90 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990878161
5909990878178
5909990878185";Glenmark Pharmaceuticals s.r.o.;CZ
4966;Lextril Combo;tert-Butylamini perindoprilum + Indapamidum;tabletki;4 mg + 1,25 mg;"30 tabl.
90 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990878130
5909990878147
5909990878154";Glenmark Pharmaceuticals s.r.o.;CZ
4967;Lidocain-Egis;Lidocainum;aerozol, roztwór;10% (100 mg/ml);1 butelka 38 g;Rp;5909990937615;EGIS Pharmaceuticals PLC;H
4968;Lidokaina Grünenthal;Lidocainum;plaster leczniczy;5%;"5 szt.
10 szt.
20 szt.
25 szt.
30 szt.";"Rp
Rp
Rp
Rp
Rp";"5909990842001
5909990842025
5909990842032
5909990842049
5909990842056";Grüenenthal GmbH;D
4969;Lidocaine Mimer;Lidocaini hydrochloridum;roztwór do wstrzykiwań;100 mg/ml;10 amp.;Rp;5909990929269;AS Grindeks;LV
4970;Lidoposterin;Lidocaini hydrochloridum;maść doodbytnicza;50 mg/g;1 op. 25 g;Rp;5909991162818;Dr. Kade Pharmazeutische Fabrik GmbH;D
4971;Lifin;Finasteridum;tabletki powlekane;5 mg;"28 tabl. (2 x 14)
28 tabl. (4 x 7)
30 tabl.";"Rp
Rp
Rp";"5909990586141
5909990586158
5909990586165";"Teva Operations Poland 
Sp. z o.o.
Teva Pharmaceutical Works Private Limited Company";"PL

H"
4972;Lignadren;Lidocaini hydrochloridum + Epinephrinum;roztwór do wstrzykiwań;(20 mg + 0,01 mg)/ml;5 fiol. 10 ml;Rp;5909991088712;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4973;Lignadren;Lidocaini hydrochloridum + Epinephrini bitartras;roztwór do wstrzykiwań;(40 mg + 0,02 mg)/2 ml;10 amp.-strzyk.;Rp;5909991098711;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4974;Lignocain 2%;Lidocaini hydrochloridum;roztwór do wstrzykiwań;20 mg/ml;"10 amp. 5 ml
20 poj. 5 ml
20 poj. 10 ml
20 poj. 20 ml";"Rp
Rp
Rp
Rp";"5909990373017
5909990373024
5909990373031
5909990373048";B. Braun Melsungen AG;D
4975;Lignocainum hydrochloricum 1%;Lidocaini hydrochloridum;roztwór do wstrzykiwań;10 mg/ml;5 fiol. 20 ml;Rp;5909990679119;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4976;Lignocainum hydrochloricum WZF 1%;Lidocaini hydrochloridum;roztwór do wstrzykiwań;10 mg/ml;10 amp. 2 ml;Rp;5909990038312;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4977;Lignocainum hydrochloricum WZF 2%;Lidocaini hydrochloridum;roztwór do wstrzykiwań;20 mg/ml;10 amp. 2 ml;Rp;5909990038411;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4978;Lignocainum hydrochloricum WZF 2%;Lidocaini hydrochloridum;roztwór do wstrzykiwań;20 mg/ml;5 fiol. 20 ml;Rp;5909990679218;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4979;Lignocainum hydrochloricum WZF 2%;Lidocaini hydrochloridum;roztwór do wstrzykiwań;40 mg/2 ml;10 amp.-strzyk. 2 ml;Rp;5909991088811;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4980;Lignocainum Jelfa;Lidocaini hydrochloridum;żel;20 mg/g;"1 tuba 30 g typu A
1 tuba 30 g typu U z kaniulą";"Rp
Rp";"5909990106813
5909990627295";Przedsiębiorstwo Farmaceutyczne Jelfa S.A.;PL
4981;Lignocainum 2% c. noradrenalino 0,00125% WZF;Lidocaini hydrochloridum + Noradrenalini tartras;roztwór do wstrzykiwań;(20 mg + 0,025 mg)/ml;10 amp. 2 ml;Rp;5909990092819;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4982;Lignocainum WZF 5% Grave;Lidocaini hydrochloridum;roztwór do wstrzykiwań;50 mg/ml;50 amp. 2 ml;Lz;5909990092710;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
4983;Lignox;Lidocaini hydrochloridum;żel do stosowania w jamie ustnej;50 mg/g;1 tuba 20 g;Rp;5909991001018;Chema Elektromet Spółdzielnia Pracy;PL
4984;Lilium tigrinum;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 2CH - 15CH, Rp: 30CH - 200CH; 6K - 100MK";"5909997040431
5909997040424
5909997040455
5909997120881
5909997120737
5909997121031
5909997120898
5909997120744
5909997121048
5909997120904
5909997120751
5909997121055
5909997120911
5909997120768
5909997121062
5909997120928
5909997120775
5909997121079
5909997120935
5909997120782
5909997121086
5909997120942
5909997120799
5909997121093
5909997120959
5909997120805
5909997121109
5909997120966
5909997120812
5909997121116";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997120973
5909997120829
5909997121123
5909997120980
5909997120836
5909997121130
5909997120997
5909997120843
5909997121147
5909997121000
5909997120850
5909997121154
5909997121017
5909997120867
5909997121161
5909997121024
5909997120874
5909997121178";;
4985;Limfocept;Mycophenolas mofetil;kapsułki twarde;250 mg;"100 kaps.
300 kaps.";"Rp
Rp";"5909990752003
5909990752034";"Accord Healthcare Ltd
Gedeon Richter Plc.";"GB
H"
4986;Limfocept;Mycophenolas mofetil;tabletki powlekane;500 mg;"50 tabl.
150 tabl.";"Rp
Rp";"5909990752355
5909990752362";"Accord Healthcare Ltd
Gedeon Richter Plc.";"GB
H"
4987;Linatera;Ethinylestradiolum + Drospirenonum;tabletki powlekane;0,02 mg + 3 mg;"28 tabl.
84 tabl.";"Rp
Rp";"5909990662531
5909990662548";"Bayer Pharma AG
Jenapharm GmbH & Co. KG
Bayer Weimar GmbH und Co. KG";"D
D
D"
4988;Lincocin;Lincomycinum;kapsułki;500 mg;12 kaps.;Rp;5909990146512;"Pfizer Italia S.r.l.
Pfizer Manufacturing Belgium NV";"I
B"
4989;Lincocin;Lincomycinum;roztwór do wstrzykiwań i infuzji;300 mg/ml;1 fiol. 2 ml;Rp;5909990146611;Pfizer Manufacturing Belgium NV;B
4990;Lindynette;Gestodenum + Ethinylestradiolum;tabletki drażowane;75 mcg + 30 mcg;21 tabl.;Rp;5909990911165;Gedeon Richter Plc.;H
4991;Linezolid Teva;Linezolidum;roztwór do infuzji;2 mg/ml;"1 worek 300 ml
10 worków 300 ml
30 worków 300 ml";"Rp
Rp
Rp";"5909990875993
5909990876006
5909990876020";TEVA Pharmaceutical Works Private Limited Company;H
4992;Linezolid Teva;Linezolidum;tabletki powlekane;600 mg;"1 tabl.
10 tabl.
20 tabl.
30 tabl.
50 tabl.
60 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990798377
5909990798384
5909990798391
5909990798407
5909990798438
5909990798445
5909990798452";"Pharmachemie B.V.
TEVA Pharmaceutical Works Private Limited Company
Teva Czech Industries s.r.o.
Teva Pharmaceutical Works Private Limited Company
Teva Sante SA";"NL
H

CZ
H

F"
4993;Linola;Produkt złożony;dodatek do kąpieli leczniczej;;"1 poj. 200 ml
1 poj. 400 ml
1 poj. 800 ml";"OTC
OTC
OTC";"5909990280315
5909990280322
5909990280339";Dr August Wolff GmbH & Co.;D
4994;Linola;Produkt złożony;krem;;"1 op. 50 g
1 op. 75 g
1 op. 100 g
1 op. 150 g
1 op. 250 g
1 op. 700 g
2 op. 250 g";"OTC
OTC
OTC
OTC
OTC
OTC
OTC";"5909990647514
5909990647521
5909990647538
5909990647545
5909990647552
5909990647576
5909990647569";Dr August Wolff GmbH & Co.;D
4995;Linola;Nienasycone kwasy tłuszczowe (C18:2);produkt złożony;;"1 tuba 50 g
1 tuba 75 g
1 tuba 100 g
1 tuba 150 g
1 tuba 250 g
1 puszka 700 g
2 tuba 250 g";"OTC
OTC
OTC
OTC
OTC
OTC
OTC";"5909990647712
5909990647729
5909990647736
5909990647743
5909990647750
5909990647774
5909990647767";Dr August Wolff GmbH & Co.;D
4996;Linola Urea;Urea;krem;120 mg/g;"1 tuba 50 g
1 tuba 75 g";"OTC
OTC";"5909990646791
5909991157210";Dr August Wolff GmbH & Co.;D
